,rid,text,food,ambience,service,price
10,300,"Konsep hebat yang dapat dihidupkan kembali dengan namanya 'Marche'.Varietas makanan tidak banyak.Saya selalu datang ke sini hanya untuk ayam panggang, karena harganya tidak tinggi sama sekali.Interior yang baik.",,POSITIVE,,POSITIVE
11,1495,"Best bingsu yg pernah gue coba! Paling mirip sama aslinya yg di korea! Pesen patbingsu, shaved icenya kerasa bgt milknya dan red beannya bukan yg kasar tapi yg halus emang khas koreanya bgt. Untuk bungeoppangnya sih so so terlalu banyak tepungnya... tapi buat bingsunya sih recommend abis. Tempatnya jg unik bgt lucu bisa buat foto2 hehe",POSITIVE,POSITIVE,,
12,932,"Tempat yang bagus untuk bersantai, cobalah datang ke sini di malam hari yang indah, sempurna untuk dihabiskan bersama keluarga atau kekasih.Anda dapat memilih makanan laut sendiri, segar ketika Anda memasuki restoran ini, dengan gamelan Bali di malam hari dan suara laut, bahkan Anda dapat duduk tepat di pantai dan merasakan gelombang laut di bawah kaki Anda.Liburan yang sempurna",,POSITIVE,,
13,355,"Outlet pertama di SCBD adalah salah satu tempat favorit saya untuk pergi di Jakarta.Mesin dari opsi yang sangat lezat dan sehat yang mereka tawarkan, suasana sangat nyaman, juga layanan hebat yang memberi Anda getaran besar!Harga sangat terjangkau, saya dapat dengan aman mengatakan bahwa Anda mendapatkan apa yang Anda bayar, dan itu adalah 5!Jadi saya tidak bisa menunggu plaza senayan satu untuk membuka dan berkeliaran di sekitar mal dengan mangkuk smoothie di tangan saya.:))",POSITIVE,POSITIVE,POSITIVE,POSITIVE
14,511,"Tempat fave lain di PS.Pernah ke sini sering, saya tidak pernah mencoba hidangan utama, karena saya terutama datang untuk hidangan penutup, kopi, dan makanan ringan, saya harus mengatakan garcon menawarkan banyak makanan penutup dan kopi yang enak.Rasa macaron mereka bagus, profitoles rasanya enak.Dan ya, saya pernah memiliki escargot yang juga terasa enak.Satu-satunya kekurangan Garcon adalah area merokok mereka yang lembab.",POSITIVE,NEGATIVE,,
16,2030,"Selalu memilih kopi sebagai tempat belajar dengan teman-teman saya (ya BCS saya tidak perlu berurusan dengan BCS lalu lintas itu berlokasi + - 500 m dari rumah saya).Tempat Nya Enakk Banget Nyaman Banget Dan Orang2 Disini Ramah Banget Bikin Mau Kesini Teruus, Apalagi Kalau Ada Aga Hahahaha",,POSITIVE,,
17,1285,"Pertama kali pergi ke sini.Sangat terkejut melihat tempatnya Kecil Banget cuma ADA seperti 10 kursi.Yang bagus cuma buat foto2 itupun rame harus nunggu.Pesen Almond Chocolate 50k, Coconut Breeze 50K, Mango Sunshine 50k.Rasana oke2 aja tidak ada yang istimewa sih.Aku memohon Suka kelapa angin, tetapi teman-temanku seperti cokelat almond.",POSITIVE,NEGATIVE,,
18,1606,"Tempat nya mungil, pas masuk langsung ketemu sama meja kasir dan pesan langsung juga di situ, untuk rasa kopi nya aku suka banget ya, buat harga standar, dan pelayanan nya ramah banget dan enak untuk diajak ngobrol soal kopi. Saran sih, diluasin lagi tempatnya untuk smoking area, is to small and hot :(",POSITIVE,NEGATIVE,POSITIVE,
19,3403,"I don't like dessert, tapi menurut temen2 ane, dessertnya enak. Dan service disini sopan banget. Untuk harga mungkin agak mahal ya, pesen 2 dessert, 1mango juice sama 1 passion tea, totalnya 150 rb an sudah di diskon 30%.",POSITIVE,,POSITIVE,NEGATIVE
20,3610,"Pernah ke sini Jumat malam lalu dengan teman kantor saya, dan itu hebat.Catatan baik saya adalah: 1. PILIHAN MENUNYA BANYAK Banget, sebagian besar enak, dan saya mencoba semuanya!hahaha 2. bebek peking, sate, & dessertnya juara 3. tempatnya gede banget, livish, apalagi yang ada.Secara keseluruhan, tempat ini mahal, kami menghabiskan +/- 550K masing-masing, tetapi semua tentang makanan bintang 5, suasana, & layanan.Layak Lah sama harganya :) PS: Terima kasih Jinni untuk mengobati, jika Anda membaca ini!ha ha",POSITIVE,POSITIVE,POSITIVE,NEGATIVE
21,1950,Tempat ini bagus.Terorganisir dengan baik.Para pelayan baik kepada kami.Makanan mereka juga rasanya enak.Direkomendasikan untuk mereka yang menyukai masakan Jepang karena itu otentik.Gulungan laba-laba bagus.Ini renyah.Salmon teriyaki juga enak.Suasana restoran santai.Tempat yang bagus untuk mendapatkan istirahat sejenak selama hari yang menegangkan,POSITIVE,POSITIVE,POSITIVE,
22,11,"Enak. Murah. Nagih. Sate jepang lebih karena bumbunya mungkin ya kaya kushiyaki.. terus harus pesen onigiri tuna, gak suka tuna ada onigiri original nya kok. lebih prefer makan dimobil sih, mas nya mau nganter. soalnya kursinya juga dikit terus gelap. kalo kesini harus jam 7 biar cepet dapet dan gak keabisan onigirinya soalnya udh jam 8an rame banget dan ngantrinya lama kadang malah suka udah abis, apalagi kalo weekend. this is my best pocket friendly place.",POSITIVE,NEGATIVE,,POSITIVE
23,2574,"Satu roti yang pasti gw beli disini, roti mochi yang ada choco chip nya! Pas awal bokap beli, keliatannya koq biasa aja, tp pas dimakan rasanya unik banget. Crispy diluar dalemnya kenyel2 kaya mochi trus ada choco chipnya semua nyatu banget! Udah deh cukup satu roti aja yang gw recommend ! Kalo ga percaya, perhatiin aja tu roti yang plg sering habis! Gresss !!!! 😋👌🏼",POSITIVE,,,
24,2933,"Tempatnya sebenarnya besar, tapi penataannya nggak terlalu rapi dan """"fit-in"""", apalagi di lantai 2 nya. Ditambah pelayananannya lama, harus diingetin dulu baru dibikin. Selang 1 jam baru makanan diantar, padahal hanya mie kuah. Suasananya juga berisik, ya memang cocok untuk bermain saja. Paling berisik itu kalo main jenga, perpaduan bunyi batang dan meja kayu nya sangat wow. Overall kalo emang tujuannya mau main dan hangout silahkan kesini, tapi kalau suka dengan suasana tenang, I don't recommend you to eat here.",,NEGATIVE,NEGATIVE,
25,953,"Akhirnya makan ke sini karena bingung mau makan siang dimana yang deket dari kantor di daerah CBD Bintaro. Ceritanya bosen makan di gedung kantor sendiri terus. Saat berkunjung Saya dan teman duduk di lantai 1 nya yang non smoking area. Untuk tempat cukup nyaman walau kami merasa tinggi meja dan kursi kurang nyaman untuk makan dikarenakan meja yang pendek, akan tetapi ada juga meja yang tingginya kok. Terus saya dan teman sama-sama memesan teh tarik dingin, menurut kami teh tarik ini kurang berasa ya. Kemudian kami mencoba menu soto dan nasi bali nya, dua-dua nya cukup enak untuk pertama kali berkunjung dan harganya sangat terjangkau.",POSITIVE,POSITIVE,,POSITIVE
26,3346,"Tempat persembunyian kuliner kecil tapi nyaman di Jakarta Selatan.Masakan Indonesia yang sangat lezat.Nasi Cakalang, Nasi Limo, dan Nasi Ayam Pecel adalah hidangan yang harus dicoba ... terlalu buruk untuk layanan Slooooow.Ayo persiapkan, mungkin menelepon ke depan untuk menu item yang Anda inginkan, atau menghadapi tunggu yang panjang saat makanan dilayani.Aku seharusnya merapat setengah poin lagi untuk membiarkan perokok merokok di dalam sementara ada bagian merokok di belakang ...",POSITIVE,POSITIVE,NEGATIVE,
27,3495,"Datang ke sini cuma demi makan dimsum karena sudah keburu makan di tempat lain. Entah kenapa hari ini rasa dimsumnya agak kurang oke. Atau mungkin karena sebenarnya perut saya sudah kenyang? Secara keseluruhan sih masih boleh lah dimsum di sini dijadikan sasaran untuk brunch atau ngemil iseng. Tapi sepertinya ada saingan yang lebih berat,saya suka masakan disini, restoran ini benar-benar luar biasa.. sejak zaman tempo dulu sampai sekarang restoran ini tetap terus berjaya, dengan ciri khas makanan yang lezat dan kualitasnya bagus.. memang harga makanan disini mahal-mahal tetapi pas masakan nya pas dengan harga nya.. saya suka<3",POSITIVE,,,NEGATIVE
28,2115,"Shaokaonya enak, bumbunya pas dan dibakarnya juga pas ga terlalu kering.. Harga ga terlalu mahal, plus sering ad diskon.. very recommended..",POSITIVE,,,POSITIVE
29,1399,"Martabak Pecenongan 65A never disappoints me. Adonan tebal maupun yg tipis enak""""! Topingnya dikasih melimpah. Harganya juga pas! Pokoknya the best martabak maker deh. Tempatnya bersih. Penyajiannya oke aka higenis. Mas mas nya juga ramah. Plus mereka menampung kritik dan saran di instanya (@martabak65a) atau di contact personnya sendiri. What you should try: -martabak greentea tipis ovomaltine keju -martabak tebal red velvet oreo cream cheese (hrs digabung!) -martabak greentea tebal keju greentea kitkat",POSITIVE,POSITIVE,POSITIVE,POSITIVE
30,1575,"Rasa yang baik secara keseluruhan, porsi tidak terlalu murah hati, waktu layanan yang sangat panjang.Idk Jika sesuatu terjadi pada dapur mereka atau apakah seseorang melewatkan pergeseran pada kunjungan saya tetapi apa pun itu, pasti membuat pengalaman saya di sini yang buruk.Semoga ruang ampun untuk perbaikan operasional cepat dipenuhi.",POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE
31,2261,"Ke sini karena penasaran bisa dapat rating 4 di Zomato. Pesan dim sum: hakau, siomay, kaki ayam, dumpling udang mayo, lumpia udang kulit tahu, plus baked pasta bolognaise. Rasa dim sum biasa aja. Siomay below par, hakau not bad. Goreng-goreng enak, lumpia udang kulit tahu suprisingly enak... Makan berdua 170++",POSITIVE,,,
32,3056,"Great place! Tempatnya nyaman banget, spacious. Makanannya juga enak, gue pesen cumi dan bebek dengan nasi hainam super yummy! Too bad gue ga sempet nyobain dimsum nya karenalast order untuk dimsum di jam 8, i will have dimsum some other time for sure",POSITIVE,POSITIVE,,
33,283,"Enak nih, Chinese food nya, harga nya juga gak mahal. Lumayan buat rekomendasi Gak nyesel dah #warung99 Kapan kapan saya mampir lagi bos..,mantap nasi goreng seafood nya👍 saya dah nyoba, bikin ane pengen balik lagi, penasaran ma tuh rrsep nya , kaya ada harum kare nya gitu deh..",POSITIVE,,,POSITIVE
34,1699,"Salah satu kios makanan di Blok S yang sering di pesan! Nasi gorengnya enak dan gurih, seringnya pesen nasi goreng yang bakso sosis. Letaknya sederetan dengan Bakso Blok S yang engga kalah nikmatnya juga!",POSITIVE,,,
35,2346,"Tempatnya enak, nyaman kursinya, walaupun agak kecil sih tp dekorasinya bagus, pelayanannya cepet bgt. Aku pesen steamboat spesial kuah tom yum rasanya enak seger sih kenyang bgt buat makan ber 3 tanpa nasi. Recommended deh",POSITIVE,POSITIVE,POSITIVE,
36,621,"Selalu order Crispy Dori karena selalu dimasak kalau kita pesan, beda dengan Crispy Chicken nya yg terkadang tidak langsung digoreng begitu kita pesan. Sabar menunggu lama krn dori nya enak sekali. Paling suka pesan dengan Wedges potato! Ah i'm in love with this kind of potato ♡ tempatnya juga cozy dan gak berisik karena posisinya di pojokan.",POSITIVE,POSITIVE,,
37,3694,"Semalam baru ke sini karena liat"""" di IG dessert nya lucu, caty"""" gt. Dan w sendiri suka bgt sm kucing.. akhirnya aq ajak baebae k sini.. hipyy aq pesen pussylicious sm vanila milk, lumayan lg ada disc 50% juga hihihihi :D  #You are still cute my pussy kitty-cat pussylicious, MEAW! Let's dessert smile emoticon smile emoticon",POSITIVE,,,POSITIVE
38,2738,Harganya mahal. Porsinya sedikit. Rasanya biasa aja. Overall Tidak worth it. Cukup sekali aja ke sini. Semoga kedepannya banyak perubahan...,NEGATIVE,,,NEGATIVE
39,2147,"Kepiting itu sangat besar, tidak heran harganya mahal (390 rb).Anda dapat memilih bagaimana mereka akan memasaknya: mentega dimasak, manis dan asam, kari, atau hanya mendidihnya.",,,,
40,2924,"Suka suasana tempat ini.Apalagi YG Outdoor, Sejuk.Suka Sama Kopinya, Terutama Red Velvet Ice Latte-Nya Enak!Akan kembali lagi untuk lebih.",POSITIVE,POSITIVE,,
41,2308,"Pertama kali disini !Saya pergi ke sini hari ini dengan teman-teman saya untuk belajar bersama karena kami berada di tengah-tengah tempat ini tidak besar tetapi sangat nyaman bagi saya dengan musik yang bagus.Jika Anda ingin memesan, Anda dapat langsung pergi ke kasir jadi saya memesan BBQ Beef Burger (daging sapi, selada, bawang, bacon, saus bbq) 35k, teman-teman saya yang lain memesan brown jamur daging sapi 30k dan ayam hash 35k.Saya suka makan BBQ Burger Beef, sangat lezat!Saya sarankan Anda untuk memesannya ketika Anda di sini dan juga burger jamur juga jika Anda suka saus jamur (saya tidak benar-benar menyukainya karena saya tidak suka saus jamur), dan untuk hash ayam, teman saya mengatakan itu terlalu banyakGoreng bukan ayam itu",POSITIVE,POSITIVE,,
42,2091,"Saya tidak akan merekomendasikan menu sarapan mereka, karena kebanyakan dari mereka terlalu mahal untuk porsi dan kualitas makanan (Benediktus telur datang dengan porsi yang sangat kecil, biaya 60K yang kekalahan dan rasanya rata-rata, sementara 45K mereka, semangkuk granola mereka gagalmemuaskan).Tapi terlepas dari kelemahan ini, menu makan sepanjang hari cukup baik.",NEGATIVE,,,NEGATIVE
43,1720,"Tempatnya luas sekali. Cocok untuk family gathering atau makan rame2 bareng temen kantor. Makanannya lumayan enak. Menunya banyak. Dr menu yg kami pesan, aku paling suka buncis goreng sm cumi goreng tepungnya. Sayang sambelnya kurang pedes hehe",POSITIVE,POSITIVE,,
44,1121,"Bakso Akiaw adalah bakso yg cukup terkenal di daerah mabes (mangga besar). Tempat ini tidak pernah sepi pengunjung, selalu ramai apalagi saat weekend. Tapi walaupun selalu waiting list tp tidak butuh waktu lama sdh dapat tempat duduk. Saya memesan kwetiaw bakso campur (babat dan daging). Penyajiannya cukup unik karena beda dgn bakso pd umumnya, kwetiaw dan bakso disajikan di piring berbeda, porsinya cukup besar. Untuk sambalnya memakai sambel hijau yg agak encer dan lumayan pedes. Overall rasanya enak, next time i'll come back.",POSITIVE,,,
45,1319,"Pertama kali diajak kesini sih bingung kok tempatnya kecil dan gak keliatan dari jalan raya. Tp begitu kita masuk langsung order ice coffee vietnam dan nuttela latte sambil nunggu temen yang lain. Nuttela latte nya enak lumayan kental dengan porsi mini, coffee vietnamnya so so lah.. setelah semua ngumpul baru pesen singkong keju meski kejunya dikit tapi oke lah tertutupi sama tekstur singkongnya yang lembut. Potato wegess nya enak, recomended la..",POSITIVE,,,
46,1356,"Warung ngedot, Gue pesen susu rasa greentea tapi rasa green tea nya kurang terasa but The Milk its so fresh. Tempat nya kecil ada indoor & outdoor tapi lumayan buat kumpul2 sama temen2. Terus gue pesen gue kue cubit tuna tapi kurang greget jujur hehe. Untuk harga standar buat kantong mahasiswi. Pelayanan nya ramah.",NEGATIVE,POSITIVE,POSITIVE,POSITIVE
47,3297,"Pilihan tepat klo mau makan steak enak tapi harga pas di kantong.. Yep.. Joni steak. Setau gw sh ada 2 cabangnya di jkt. Satu di pasar baru, satu lg di gajah mada. Pertama x makan disini diajak temen. Mantab luar biasa dah.. Pelayanan cepat, rasa maknyus.. Harga pas dikantong.. Apalagi untuk ukuran steak tenderloin sebanyak itu.. Yah mungkin masih banyak steak2 laennya yg lebih enak, tp klo mau milih yg enak dan value for money, harus dicoba ini joni steak. Favorite menu makan disini adalah salmon steaknya. Rasanya ga ada amis2nya gt. Fresh sih. Ditambah sambal bangkok dan selada yg sangat amat yummy 😁 Jaman pertama x makan disini disajikannya pake piring hotplate. Klo sekarang2 disajiin di piring biasa.. Yaahh tp tetep okelah ya 😁",POSITIVE,,POSITIVE,POSITIVE
48,2625,"Pulang kantor ke daerah menteng/cikini trus bingung mau makan dimana. Liat Zomato katanya disini salah satu yang recommended. So here I was. Tempatnya lumayan lucu ada indoor dan outdoor (smoking area). They have all-day breakfast menu plus many selection of pastries (quiche, dll). Pesen aglio olio with shrimp dan mushroom truffle pizza. WOW surprisingly enak enak lho!! Pizzanya apalagi! Truffle-nya pas nggak over powering, crustnya enak tipis tp ga begitu tipis. Spaghettinya enaaakk al dente dan seasoning garlic and pepper-nya pas (cuma porsi tidak begitu besar). Harga termasuk okelah untuk di lokasi daerah cikini/menteng. Oia saat ini mereka punya promo disc. 20% food only with BC* credit card (min. Transaction 275rb).",POSITIVE,POSITIVE,,POSITIVE
49,346,"Waktu itu ke Kiyadon, sama saudara (ditraktir pula :p) at first pelayanannya bagus cepet dan friendly. Untuk makanannha kita pesen salmon sashimi (as always, our fav) salmon salad potato salad, dan jumbo dragon roll. Honestly, ini uenak banget, kita sampe pesen 2x dan jadinya makan cuma itu doang. Overall, nice place",POSITIVE,,POSITIVE,
50,703,"Konsepnya Kaya Yoshinoya Beef Bowl.TAPI LEBIH BANYAK DAN ENAK VARIANNYA.Salah Coba Beef Kimchi Don, Kimchi Nya OK Porsinya Banyak.TAPI SAAT PESAN MENU LAIN KOK PORSINA JADI AGA KCIL., 85% sesuai dengan selera saya untuk menya mereka gyutan don hehehe itu adalah favorit saya.Pertama kali saya datang ke sini ketika Negiya hanya membuka cabang mereka di Kokas, tetapi saya sudah mendengar tentang Negiya di CityWalk waktu yang lalu.Favorit saya selalu menya gyutan don dengan telur tambahan.Saya tidak pernah memesan menu lain tetapi sampai malam ini saya akhirnya memesan gyutan teriyaki mereka karena ada beberapa kesalahan teknis di dapur mereka sehingga kami hanya dapat memesan menu Grill.Tapi rasanya tidak terlalu buruk, aku juga menyukainya.N kemudian teman saya memesan misi Miso panggangan Salmon mereka, dia mengatakan bumbu mereka baik, tetapi sup miso mereka agak terlalu asin.PS: Foto Menya Gyutan Don yang baru saja saya unggah diambil beberapa bulan yang lalu.Tapi 2 lainnya hanyalah satu jam yang lalu;) Nikmati!",POSITIVE,,,
51,1993,"Tempat yang bagus, suasana indah dan produk-produk berkualitas tinggi dengan banyak makanan lezat untuk dibeli dan dibawa pulang, atau bahkan berbagi dengan keluarga / teman.Kualitas kue sangat baik, bersama dengan layanan pelanggan yang ramah.Sangat senang dengan pengalaman saya dan saya pasti akan kembali., Almond Tree Ini Dulu Namanya Cheesecake Pabrik Sepetinya Ganti Nama Dan Ganti Manajemen.Menu Dan Harganya SIH SIH SAMA SEPERTI TEMPAT YANG SEBELUMNYA.Kuenya Enak Rasanya Udah Beringing Beli Disini Juga.Pelayanannya Oke Punya Templatnya Banget Juga Cozy.Rekomendasi banget tempatnya buat beli kue deh.",POSITIVE,POSITIVE,POSITIVE,POSITIVE
52,1836,"Salah satu restoran terbaik dan mewah di Jakarta dan juga di luar negeri ya .... daging sapi begitu besar dan juga lezat dan berair .. harga mengatakan porsi dan lezat .. Secara keseluruhan sangat direkomendasikan jika Anda ingin makan malam yang mewah.Tempat itu juga romantis, jika Anda mengambil outdoor .. tetapi banyak nyamuk di luar ...., Tony Roma terletak di dalam P (x) Pavillion Mall dan mal sangat kecil.Saya memesan cincin bawang dan tulang rusuk bayi asli.Saya sangat suka dengan cincin bawang, renyah bawang sangat menakjubkan dengan sosis.Tentang Baby Back Ribs, saya pikir ada perbedaan antara Baby Back Ribs Puri dan Senayan.Saya tidak terbiasa dengan rasa iga punggung bayi dan merasa seperti rasa orang asing karena saya selalu makan Tony Romas di Senayan.Rasanya untuk bayi tulang rusuk hanya normal, tidak ada yang istimewa.",POSITIVE,POSITIVE,,POSITIVE
53,358,"Best shabu in town!!! Sampe bingung mau tulis review apa. Wajib banget kesini!! Saranku jangan di jam makan siang, atau reserve dulu sebelumnya. Penuh terus soalnya.",POSITIVE,,,
54,3680,Chinese food yang enak terutama menu Sapo Tahu Seafood dan Fu Yung Hai yang menjadi menu favorit setiap makan ke sini. Dengan lokasi yang strategis pinggir jalan di ruko sebrang UIKA.,POSITIVE,POSITIVE,,
55,3287,Cut the crab!! Penasaran sama resto yg lg hits ini. Akhir na kesampean jg cobain ini. Suasans resto na biasa aja. Ga yg gimana2. Desain na standar lah. Stelah berkonsultasi dgn waitress na akhir na kita memesan seafood mix dan kepiting jantan yg ukuran sekilo lebih dgn bumbu mix Ga lama pesanan pun dihidangkan diatas meja tanpa piring. Huaaa wangi na menggoda banget. Bawang putih na msntaf. Gs pelit2. Seafood mix na biasa aja. Fresh si tp vs yv special gmn Kepiting na padat. Seger. Empuk. Gurih. Ga berasa makan na sangking enak na. Capit na jg gede padat berisi. Gua pyas banget sama kepiting na Harga na gua makan berlima kena 900rb. Agak mahal tp gua puas. Lain x pesan kpiting na aja mrn seafood mix na biasa aja,POSITIVE,POSITIVE,,POSITIVETIVE
56,337,"Tadi siang saya ke gerobak betawi disunter.Tempatnya menarik sekali,tidak terlalu luas namun bisa menampung banyak orang.saya makan nasi jeruk sebagai makanan utama,selain itu saya juga memesan kulit ayam goreng,tahu petis,tahu telor dan jus alpukat.semuanya terasa diatas rata rata untuk nasi jeruk menurut saya rasa ayam yang lembut dan bumbu yang meresap membuat makanan ini terasa sangat nikmat.well done",POSITIVE,,,
57,1690,"Tempatnya enak buat nongki ngobrol2. Hanya itu. Makanan yang saya pesan adalah spaghetti babi, dan rasanya hanya micin + bubuk cabai. Kalo utk sekedar ngobrol2 sambil menikmati kopi, disini enak tempatnya.",NEGATIVE,POSITIVE,,
58,2592,"Terletak di dekat M & S di lantai 2 .. mereka adalah spesialis di Unagi / Belut .. Saya mencoba menu khusus mereka hitshumabushi (1 lapisan).1 lapisan lebih dari cukup bagi saya .. harga cukup mahal, meskipun hidangan masih dapat dinikmati oleh 2 orang. Rasa bagus, tetapi bagi saya itu tidak membuat saya ingin kembali ke sana secepatnya .. sanaadalah 3 cara untuk memilikinya: 1. Seperti itu 2. Masukkan beberapa musim dan rempah-rempah sebanyak yang Anda suka 3. Dengan kaldu saya suka yang paling ke-2 .. Jika Anda seorang kekasih UNAGI",POSITIVE,,,NEGATIVE
59,3894,Baru masuk aja udah berasa meksikonya. Mulai dari musik sampe desain interiornya. Gabegitu suka sama makanan meksiko. Pelayanannya cukup lama. Bahkan untuk minta bill aja lamanya minta ampun. Tadi pesen quesadillas grilled steak.,,POSITIVE,NEGATIVE,
60,2514,"Saya benar-benar menyukai sambungan atap ini.Saya senang memiliki seluruh suasana hijau yang terjadi.Layanan ini luar biasa;Sejauh saya benar-benar berjuang untuk berjalan-jalan di tumit saya yang terus tenggelam ke daerah berumput, mereka memberi kami sandal bagi kami untuk berjalan-jalan tanpa kesulitan.Juga, musiknya cukup bagus dan saya pasti akan senang untuk kembali untuk banyak malam yang lebih dingin.",,POSITIVE,POSITIVE,
61,2919,"Pergi ke restoran ini beberapa kali ... suka makanan, itu datang dalam porsi besar ... harganya masih baik-baik saja jika Anda membandingkan dengan porsi, lebih baik datang ke sini dengan teman-teman sehingga Anda dapat berbagi makanan ... setelahnyaBeberapa tahun membuka tempat ini masih memiliki suasana yang sama yang bagus, menjaga pekerjaan yang baik!",POSITIVE,POSITIVE,,POSITIVE
62,1643,"Ngerayain ulang tahun adek disini cocok banget apalagi untuk yang suka daging. Banyak variasinya ada sushi, tempura, steak, spagethi, dimsum, shabu-shabu, beef teriyaki, salad dll. Dessertnya super banyak pilihannya juga dan topping eskrim beraneka ragam. Klo kesini siapkan perut yaaa karena semua worth it untuk di coba,tahun kemarin datang di bulan agustus japanes quality bagus , display nya juga bagus dan minggu kemarin datang dengan teman saya menunya beda menjadi chinese restaurant omg what happend , saama aja kayak di HANAMASA super local bangett untuk restaurant local sih bagus tapi kan ini japanes restaurant namanya aja KOBE berarti kan dari jepang , kalo menunya chines sih mending ganti sanghai aja hahaha makin lama juga pelayannya gak ramah ,awalnya doang dateng ramah banget mungkin baru buka tapi minggu kemarin gilaaa waitress nya gak peka bngt gue liat juga untuk restaurant yang good quality dari mulai staff harus diperhatiin gue liat staff kitchen kedepan uniformnya gk bagus mending ganti dari rasa sih enak sama cuman konsepnya aja yang beda jadi dibuat bingung restaurant jepang atau china?",POSITIVE,,NEGATIVE,
63,1869,Salah satu tempat makan favorit saya.Untuk pergi ke tempat ketika Anda merasa makan siang yang tepat (agak mewah).Nikmati makanannya begitu banyak.Suasana dan layanan juga baik.Slow Braised Wagyu / Baby Belly Bun Soooo bagus.,POSITIVE,POSITIVE,POSITIVE,
64,2594,"Tau bakso titoti ini dari pacar dan akhirnya Sering makan kesini. Apalagi kalo abis pulang ngantor,pala mumet pengen makan seger2,baksonya so far enak dan lumayan ngenyangin porsinya. Yang enak tuh disini baksonya di campur potongan kikil yang kenyal2 jadi makan bakso jadi makin seru. Kalo lagi weekend yaah rame deh. Siap2 waiting list nunggu bangku yg kosong. Mas/mbak nya baik. Pelayanan lumayan cepet. Okelaaa😉",POSITIVE,,POSITIVE,
