,Unnamed: 0,rid,text,food,ambience,service,price
11,11,1495,best bingsu yg pernah gue coba paling mirip sama asli yg di korea sen patbingsu shaved icenya rasa bgt milknya dan red beannya bukan yg kasar tapi yg halus emang khas koreanya bgt untuk bungeoppangnya sih so so terlalu banyak tepung tapi buat bingsunya sih recommend abis tempat jg unik bgt lucu bisa buat foto2 hehe,POSITIVE,POSITIVE,,
12,12,932,tempat yang bagus untuk santa coba datang ke sini di malam hari yang indah sempurna untuk habis sama keluarga atau kasih anda dapat pilih makan laut sendiri segar ketika anda pasuk restoran ini dengan gamelan bal di malam hari dan suara laut bahkan anda dapat duduk tepat di pantai dan rasa gelombang laut di bawah kaki anda libur yang sempurna,,POSITIVE,,
13,13,355,outlet pertama di scbd adalah salah satu tempat favorit saya untuk pergi di jakarta mesin dari opsi yang sangat lezat dan sehat yang mereka tawar suasana sangat nyaman juga layan hebat yang beri anda getar besar harga sangat jangkau saya dapat dengan aman kata bahwa anda dapat apa yang anda bayar dan itu adalah 5 jadi saya tidak bisa tunggu plaza senayan satu untuk buka dan liar di sekitar mal dengan mangkuk smoothie di tangan saya,POSITIVE,POSITIVE,POSITIVE,POSITIVE
14,14,511,tempat fave lain di ps pernah ke sini sering saya tidak pernah coba hidang utama karena saya utama datang untuk hidang tutup kopi dan makan ringan saya harus kata garcon tawar banyak makan tutup dan kopi yang enak rasa macaron mereka bagus profitoles rasa enak dan ya saya pernah milik escargot yang juga asa enak satu kurang garcon adalah area rokok mereka yang lembab,POSITIVE,NEGATIVE,,
15,16,2030,selalu pilih kopi bagai tempat ajar dengan teman saya ya bcs saya tidak perlu urus dengan bcs lalu lintas itu lokasi - 500 m dari rumah saya tempat nya enakk banget nyaman banget dan orang2 sini ramah banget bikin mau kesini teruus apalagi kalau ada aga hahahaha,,POSITIVE,,
16,17,1285,pertama kali pergi ke sini sangat kejut lihat tempat kecil banget cuma ada seperti 10 kursi yang bagus cuma buat foto2 itu rame harus nunggu sen almond chocolate 50k coconut breeze 50k mango sunshine 50k rasana oke2 aja tidak ada yang istimewa sih aku mohon suka kelapa angin tetapi teman seperti cokelat almond,POSITIVE,NEGATIVE,,
17,18,1606,tempat nya mungil pas masuk langsung ketemu sama meja kasir dan pesan langsung juga di situ untuk rasa kopi nya aku suka banget ya buat harga standar dan layan nya ramah banget dan enak untuk ajak ngobrol soal kopi saran sih diluasin lagi tempat untuk smoking area is to small and hot,POSITIVE,NEGATIVE,POSITIVE,
18,19,3403,i don t like dessert tapi turut temen2 ane dessertnya enak dan service sini sopan banget untuk harga mungkin agak mahal ya sen 2 dessert 1mango juice sama 1 passion tea total 150 rb an sudah di diskon 30,POSITIVE,,POSITIVE,NEGATIVE
19,20,3610,pernah ke sini jumat malam lalu dengan teman kantor saya dan itu hebat catat baik saya adalah 1 pilih menu banyak banget bagi besar enak dan saya coba semua hahaha 2 bebek peking sate dessertnya juara 3 tempat gede banget livish apalagi yang ada cara seluruh tempat ini mahal kami habis - 550k masing-masing tetapi semua tentang makan bintang 5 suasana layan layak lah sama harga ps terima kasih jinni untuk obat jika anda baca ini ha ha,POSITIVE,POSITIVE,POSITIVE,NEGATIVE
20,21,1950,tempat ini bagus organisir dengan baik para layan baik kepada kami makan mereka juga rasa enak rekomendasi untuk mereka yang suka masakan jepang karena itu otentik gulung laba bagus ini renyah salmon teriyaki juga enak suasana restoran santai tempat yang bagus untuk dapat istirahat jenak lama hari yang tegang,POSITIVE,POSITIVE,POSITIVE,
21,22,11,enak murah nagih sate jepang lebih karena bumbu mungkin ya kaya kushiyaki terus harus sen onigiri tuna gak suka tuna ada onigiri original nya kok lebih prefer makan mobil sih mas nya mau nganter soal kursi juga dikit terus gelap kalo kesini harus jam 7 biar cepet dapet dan gak abis onigirinya soal udh jam 8an rame banget dan ngantrinya lama kadang malah suka udah abis apalagi kalo weekend this is my best pocket friendly place,POSITIVE,NEGATIVE,,POSITIVE
22,23,2574,satu roti yang pasti gw beli sini roti mochi yang ada choco chip nya pas awal bokap beli liat koq biasa aja tp pas makan rasa unik banget crispy luar dalem kenyel2 kaya mochi trus ada choco chipnya semua nyatu banget udah deh cukup satu roti aja yang gw recommend kalo ga percaya perhatiin aja tu roti yang plg sering habis gresss,POSITIVE,,,
23,24,2933,tempat benar besar tapi tata nggak terlalu rapi dan fit-in apalagi di lantai 2 nya tambah pelayananannya lama harus diingetin dulu baru bikin selang 1 jam baru makan antar padahal hanya mie kuah suasana juga berisik ya memang cocok untuk main saja paling berisik itu kalo main jenga padu bunyi batang dan meja kayu nya sangat wow overall kalo emang tuju mau main dan hangout silah kesini tapi kalau suka dengan suasana tenang i don t recommend you to eat here,,NEGATIVE,NEGATIVE,
24,25,953,akhir makan ke sini karena bingung mau makan siang mana yang deket dari kantor di daerah cbd bintaro cerita bosen makan di gedung kantor sendiri terus saat kunjung saya dan teman duduk di lantai 1 nya yang non smoking area untuk tempat cukup nyaman walau kami rasa tinggi meja dan kursi kurang nyaman untuk makan karena meja yang pendek akan tetapi ada juga meja yang tinggi kok terus saya dan teman sama mes teh tarik dingin turut kami teh tarik ini kurang asa ya kemudian kami coba menu soto dan nasi bal nya dua nya cukup enak untuk pertama kali kunjung dan harga sangat jangkau,POSITIVE,POSITIVE,,POSITIVE
25,26,3346,tempat sembunyi kuliner kecil tapi nyaman di jakarta selatan masakan indonesia yang sangat lezat nasi cakalang nasi limo dan nasi ayam pecel adalah hidang yang harus coba terlalu buruk untuk layan slooooow ayo siap mungkin telepon ke depan untuk menu item yang anda ingin atau hadap tunggu yang panjang saat makan layan aku harus rapat tengah poin lagi untuk biar okok rokok di dalam sementara ada bagi rokok di belakang,POSITIVE,POSITIVE,NEGATIVE,
26,27,3495,datang ke sini cuma demi makan dimsum karena sudah keburu makan di tempat lain entah kenapa hari ini rasa dimsumnya agak kurang oke atau mungkin karena benar perut saya sudah kenyang cara seluruh sih masih boleh lah dimsum di sini jadi sasar untuk brunch atau ngemil iseng tapi seperti ada saing yang lebih berat saya suka masakan sini restoran ini benar luar biasa sejak zaman tempo dulu sampai sekarang restoran ini tetap terus jaya dengan ciri khas makan yang lezat dan kualitas bagus memang harga makan sini mahal tetapi pas masakan nya pas dengan harga nya saya suka 3,POSITIVE,,,NEGATIVE
27,28,2115,shaokaonya enak bumbu pas dan bakar juga pas ga terlalu kering harga ga terlalu mahal plus sering ad diskon very recommended,POSITIVE,,,POSITIVE
28,29,1399,martabak pecenongan 65a never disappoints me adon tebal maupun yg tipis enak topingnya kasih limpah harga juga pas pokok the best martabak maker deh tempat bersih saji oke aka higenis mas mas nya juga ramah plus mereka tampung kritik dan saran di instanya martabak65a atau di contact person sendiri what you should try -martabak greentea tipis ovomaltine keju -martabak tebal red velvet oreo cream cheese hrs gabung -martabak greentea tebal keju greentea kitkat,POSITIVE,POSITIVE,POSITIVE,POSITIVE
29,30,1575,rasa yang baik cara seluruh porsi tidak terlalu murah hati waktu layan yang sangat panjang idk jika sesuatu jadi pada dapur mereka atau apakah orang lewat geser pada kunjung saya tetapi apa pun itu pasti buat alam saya di sini yang buruk moga ruang ampun untuk baik operasional cepat penuh,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE
30,31,2261,ke sini karena penasaran bisa dapat rating 4 di zomato pesan dim sum hakau siomay kaki ayam dumpling udang mayo lumpia udang kulit tahu plus baked pasta bolognaise rasa dim sum biasa aja siomay below par hakau not bad goreng enak lumpia udang kulit tahu suprisingly enak makan dua 170,POSITIVE,,,
31,32,3056,great place tempat nyaman banget spacious makan juga enak gue sen cumi dan bebek dengan nasi hainam super yummy too bad gue ga sempet nyobain dimsum nya karenalast order untuk dimsum di jam 8 i will have dimsum some other time for sure,POSITIVE,POSITIVE,,
32,33,283,enak nih chinese food nya harga nya juga gak mahal lumayan buat rekomendasi gak nyesel dah warung99 kapan kapan saya mampir lagi bos mantap nasi goreng seafood nya saya dah nyoba bikin ane ken balik lagi penasaran ma tuh rrsep nya kaya ada harum kare nya gitu deh,POSITIVE,,,POSITIVE
33,34,1699,salah satu kios makan di blok s yang sering di pesan nasi goreng enak dan gurih sering sen nasi goreng yang bakso sosis letak deret dengan bakso blok s yang engga kalah nikmat juga,POSITIVE,,,
34,35,2346,tempat enak nyaman kursi walaupun agak kecil sih tp dekorasi bagus layan cepet bgt aku sen steamboat spesial kuah tom yum rasa enak seger sih kenyang bgt buat makan ber 3 tanpa nasi recommended deh,POSITIVE,POSITIVE,POSITIVE,
35,36,621,selalu order crispy dor karena selalu masak kalau kita pesan beda dengan crispy chicken nya yg terkadang tidak langsung goreng begitu kita pesan sabar tunggu lama krn dor nya enak sekali paling suka pesan dengan wedges potato ah i m in love with this kind of potato tempat juga cozy dan gak berisik karena posisi di pojok,POSITIVE,POSITIVE,,
36,37,3694,malam baru ke sini karena liat di ig dessert nya lucu caty gt dan w sendiri suka bgt sm kucing akhir aq ajak baebae k sini hipyy aq sen pussylicious sm vanila milk lumayan lg ada disc 50 juga hihihihi d you are still cute my pussy kitty-cat pussylicious meaw let s dessert smile emoticon smile emoticon,POSITIVE,,,POSITIVE
37,38,2738,harga mahal porsi sedikit rasa biasa aja overall tidak worth it cukup sekali aja ke sini moga depan banyak ubah,NEGATIVE,,,NEGATIVE
38,39,2147,kepiting itu sangat besar tidak heran harga mahal 390 rb anda dapat pilih bagaimana mereka akan masak mentega masak manis dan asam kari atau hanya didih,,,,
39,40,2924,suka suasana tempat ini apalagi yg outdoor sejuk suka sama kopi utama red velvet ice latte-nya enak akan kembali lagi untuk lebih,POSITIVE,POSITIVE,,
40,41,2308,pertama kali sini saya pergi ke sini hari ini dengan teman saya untuk ajar sama karena kami ada di tengah tempat ini tidak besar tetapi sangat nyaman bagi saya dengan musik yang bagus jika anda ingin mes anda dapat langsung pergi ke kasir jadi saya mes bbq beef burger daging sapi selada bawang bacon saus bbq 35k teman saya yang lain mes brown jamur daging sapi 30k dan ayam hash 35k saya suka makan bbq burger beef sangat lezat saya saran anda untuk mes ketika anda di sini dan juga burger jamur juga jika anda suka saus jamur saya tidak benar suka karena saya tidak suka saus jamur dan untuk hash ayam teman saya kata itu terlalu banyakgoreng bukan ayam itu,POSITIVE,POSITIVE,,
41,42,2091,saya tidak akan rekomendasi menu sarap mereka karena banyak dari mereka terlalu mahal untuk porsi dan kualitas makan benediktus telur datang dengan porsi yang sangat kecil biaya 60k yang kalah dan rasa rata sementara 45k mereka semangkuk granola mereka gagalmemuaskan tapi lepas dari lemah ini menu makan panjang hari cukup baik,NEGATIVE,,,NEGATIVE
42,43,1720,tempat luas sekali cocok untuk family gathering atau makan rame2 bareng temen kantor makan lumayan enak menu banyak dr menu yg kami pesan aku paling suka buncis goreng sm cumi goreng tepung sayang sambelnya kurang pedes hehe,POSITIVE,POSITIVE,,
43,44,1121,bakso akiaw adalah bakso yg cukup kenal di daerah mabes mangga besar tempat ini tidak pernah sepi unjung selalu ramai apalagi saat weekend tapi walaupun selalu waiting list tp tidak butuh waktu lama sdh dapat tempat duduk saya mes kwetiaw bakso campur babat dan daging saji cukup unik karena beda dgn bakso pd umum kwetiaw dan bakso saji di piring beda porsi cukup besar untuk sambal pakai sambel hijau yg agak encer dan lumayan pedes overall rasa enak next time i ll come back,POSITIVE,,,
44,45,1319,pertama kali ajak kesini sih bingung kok tempat kecil dan gak liat dari jalan raya tp begitu kita masuk langsung order ice coffee vietnam dan nuttela latte sambil nunggu temen yang lain nuttela latte nya enak lumayan kental dengan porsi mini coffee vietnamnya so so lah telah semua ngumpul baru sen singkong keju meski keju dikit tapi oke lah tutup sama tekstur singkong yang lembut potato wegess nya enak recomended la,POSITIVE,,,
45,46,1356,warung ngedot gue sen susu rasa greentea tapi rasa green tea nya kurang asa but the milk its so fresh tempat nya kecil ada indoor outdoor tapi lumayan buat kumpul2 sama temen2 terus gue sen gue kue cubit tuna tapi kurang greget jujur hehe untuk harga standar buat kantong mahasiswi layan nya ramah,NEGATIVE,POSITIVE,POSITIVE,POSITIVE
46,47,3297,pilih tepat klo mau makan steak enak tapi harga pas di kantong yep joni steak tau gw sh ada 2 cabang di jkt satu di pasar baru satu lg di gajah mada pertama x makan sini ajak temen mantab luar biasa dah layan cepat rasa maknyus harga pas kantong apalagi untuk ukur steak tenderloin banyak itu yah mungkin masih banyak steak2 laennya yg lebih enak tp klo mau milih yg enak dan value for money harus coba ini joni steak favorite menu makan sini adalah salmon steaknya rasa ga ada amis2nya gt fresh sih tambah sambal bangkok dan selada yg sangat amat yummy jaman pertama x makan sini saji pake piring hotplate klo sekarang2 disajiin di piring biasa yaahh tp tetep oke ya,POSITIVE,,POSITIVE,POSITIVE
47,48,2625,pulang kantor ke daerah menteng cikini trus bingung mau makan mana liat zomato kata sini salah satu yang recommended so here i was tempat lumayan lucu ada indoor dan outdoor smoking area they have all-day breakfast menu plus many selection of pastries quiche dll sen aglio olio with shrimp dan mushroom truffle pizza wow surprisingly enak enak lho pizzanya apalagi truffle-nya pas nggak over powering crustnya enak tipis tp ga begitu tipis spaghettinya enaaakk al dente dan seasoning garlic and pepper-nya pas cuma porsi tidak begitu besar harga masuk oke untuk di lokasi daerah cikini menteng oia saat ini mereka punya promo disc 20 food only with bc credit card min transaction 275rb,POSITIVE,POSITIVE,,POSITIVE
48,49,346,waktu itu ke kiyadon sama saudara traktir pula p at first layan bagus cepet dan friendly untuk makanannha kita sen salmon sashimi as always our fav salmon salad potato salad dan jumbo dragon roll honestly ini uenak banget kita sampe sen 2x dan jadi makan cuma itu doang overall nice place,POSITIVE,,POSITIVE,
49,50,703,konsep kaya yoshinoya beef bowl tapi lebih banyak dan enak varian salah coba beef kimchi don kimchi nya ok porsi banyak tapi saat pesan menu lain kok porsina jadi aga kcil 85 sesuai dengan selera saya untuk menya mereka gyutan don hehehe itu adalah favorit saya pertama kali saya datang ke sini ketika negiya hanya buka cabang mereka di kokas tetapi saya sudah dengar tentang negiya di citywalk waktu yang lalu favorit saya selalu menya gyutan don dengan telur tambah saya tidak pernah mes menu lain tetapi sampai malam ini saya akhir mes gyutan teriyaki mereka karena ada beberapa salah teknis di dapur mereka sehingga kami hanya dapat mes menu grill tapi rasa tidak terlalu buruk aku juga suka n kemudian teman saya mes misi miso panggang salmon mereka dia kata bumbu mereka baik tetapi sup miso mereka agak terlalu asin ps foto menya gyutan don yang baru saja saya unggah ambil beberapa bulan yang lalu tapi 2 lain hanya satu jam yang lalu nikmat,POSITIVE,,,
50,51,1993,tempat yang bagus suasana indah dan produk kualitas tinggi dengan banyak makan lezat untuk beli dan bawa pulang atau bahkan bagi dengan keluarga teman kualitas kue sangat baik sama dengan layan langgan yang ramah sangat senang dengan alam saya dan saya pasti akan kembali almond tree ini dulu nama cheesecake pabrik sepet ganti nama dan ganti manajemen menu dan harga sih sih sama seperti tempat yang belum kue enak rasa udah beringing beli sini juga layan oke punya templatnya banget juga cozy rekomendasi banget tempat buat beli kue deh,POSITIVE,POSITIVE,POSITIVE,POSITIVE
51,52,1836,salah satu restoran baik dan mewah di jakarta dan juga di luar negeri ya daging sapi begitu besar dan juga lezat dan air harga kata porsi dan lezat cara seluruh sangat rekomendasi jika anda ingin makan malam yang mewah tempat itu juga romantis jika anda ambil outdoor tetapi banyak nyamuk di luar tony roma letak di dalam p x pavillion mall dan mal sangat kecil saya mes cincin bawang dan tulang rusuk bayi asli saya sangat suka dengan cincin bawang renyah bawang sangat takjub dengan sosis tentang baby back ribs saya pikir ada beda antara baby back ribs puri dan senayan saya tidak biasa dengan rasa iga punggung bayi dan rasa seperti rasa orang asing karena saya selalu makan tony romas di senayan rasa untuk bayi tulang rusuk hanya normal tidak ada yang istimewa,POSITIVE,POSITIVE,,POSITIVE
52,53,358,best shabu in town sampe bingung mau tulis review apa wajib banget kesini saran jangan di jam makan siang atau reserve dulu belum penuh terus soal,POSITIVE,,,
53,54,3680,chinese food yang enak utama menu sapo tahu seafood dan fu yung hai yang jadi menu favorit tiap makan ke sini dengan lokasi yang strategis pinggir jalan di ruko sebrang uika,POSITIVE,POSITIVE,,
54,55,3287,cut the crab penasaran sama resto yg lg hits ini akhir na sampean jg cobain ini suasans resto na biasa aja ga yg gimana2 desain na standar lah stelah konsultasi dgn waitress na akhir na kita mes seafood mix dan kepiting jantan yg ukur kilo lebih dgn bumbu mix ga lama pesan pun hidang atas meja tanpa piring huaaa wangi na goda banget bawang putih na msntaf gs pelit2 seafood mix na biasa aja fresh si tp vs yv special gmn kepiting na padat seger empuk gurih ga asa makan na sangking enak na capit na jg gede padat isi gua pyas banget sama kepiting na harga na gua makan lima kena 900rb agak mahal tp gua puas lain x pesan kpiting na aja mrn seafood mix na biasa aja,POSITIVE,POSITIVE,,POSITIVETIVE
55,56,337,tadi siang saya ke gerobak betawi disunter tempat tarik sekali tidak terlalu luas namun bisa tampung banyak orang saya makan nasi jeruk bagai makan utama selain itu saya juga mes kulit ayam goreng tahu petis tahu telor dan jus alpukat semua asa atas rata rata untuk nasi jeruk turut saya rasa ayam yang lembut dan bumbu yang resap buat makan ini asa sangat nikmat well done,POSITIVE,,,
56,57,1690,tempat enak buat nongki ngobrol2 hanya itu makan yang saya pesan adalah spaghetti babi dan rasa hanya micin bubuk cabai kalo utk dar ngobrol2 sambil nikmat kopi sini enak tempat,NEGATIVE,POSITIVE,,
57,58,2592,letak di dekat m s di lantai 2 mereka adalah spesialis di unagi belut saya coba menu khusus mereka hitshumabushi 1 lapis 1 lapis lebih dari cukup bagi saya harga cukup mahal meski hidang masih dapat nikmat oleh 2 orang rasa bagus tetapi bagi saya itu tidak buat saya ingin kembali ke sana cepat sanaadalah 3 cara untuk milik 1 seperti itu 2 masuk beberapa musim dan rempah banyak yang anda suka 3 dengan kaldu saya suka yang paling ke-2 jika anda orang kasih unagi,POSITIVE,,,NEGATIVE
58,59,3894,baru masuk aja udah asa meksikonya mulai dari musik sampe desain interior gabegitu suka sama makan meksiko layan cukup lama bahkan untuk minta bill aja lama minta ampun tadi sen quesadillas grilled steak,,POSITIVE,NEGATIVE,
59,60,2514,saya benar suka sambung atap ini saya senang milik seluruh suasana hijau yang jadi layan ini luar biasa jauh saya benar juang untuk jalan di tumit saya yang terus tenggelam ke daerah umput mereka beri kami sandal bagi kami untuk jalan tanpa sulit juga musik cukup bagus dan saya pasti akan senang untuk kembali untuk banyak malam yang lebih dingin,,POSITIVE,POSITIVE,
60,61,2919,pergi ke restoran ini beberapa kali suka makan itu datang dalam porsi besar harga masih baik saja jika anda banding dengan porsi lebih baik datang ke sini dengan teman sehingga anda dapat bagi makan setelahnyabeberapa tahun buka tempat ini masih milik suasana yang sama yang bagus jaga kerja yang baik,POSITIVE,POSITIVE,,POSITIVE
61,62,1643,ngerayain ulang tahun adek sini cocok banget apalagi untuk yang suka daging banyak variasi ada sushi tempura steak spagethi dimsum shabu-shabu beef teriyaki salad dll dessertnya super banyak pilih juga dan topping eskrim aneka ragam klo kesini siap perut yaaa karena semua worth it untuk di coba tahun kemarin datang di bulan agustus japanes quality bagus display nya juga bagus dan minggu kemarin datang dengan teman saya menu beda jadi chinese restaurant omg what happend saama aja kayak di hanamasa super local bangett untuk restaurant local sih bagus tapi kan ini japanes restaurant nama aja kobe arti kan dari jepang kalo menu chines sih mending ganti sangha aja hahaha makin lama juga layan gak ramah awal doang dateng ramah banget mungkin baru buka tapi minggu kemarin gilaaa waitress nya gak peka bngt gue liat juga untuk restaurant yang good quality dari mulai staff harus diperhatiin gue liat staff kitchen depan uniform gk bagus mending ganti dari rasa sih enak sama cuman konsep aja yang beda jadi buat bingung restaurant jepang atau china,POSITIVE,,NEGATIVE,
62,63,1869,salah satu tempat makan favorit saya untuk pergi ke tempat ketika anda rasa makan siang yang tepat agak mewah nikmat makan begitu banyak suasana dan layan juga baik slow braised wagyu baby belly bun soooo bagus,POSITIVE,POSITIVE,POSITIVE,
63,64,2594,tau bakso titoti ini dari pacar dan akhir sering makan kesini apalagi kalo abis pulang ngantor pala mumet ken makan seger2 bakso so far enak dan lumayan ngenyangin porsi yang enak tuh sini bakso di campur potong kikil yang kenyal2 jadi makan bakso jadi makin seru kalo lagi weekend yaah rame deh siap2 waiting list nunggu bangku yg kosong mas mbak nya baik layan lumayan cepet okelaaa,POSITIVE,,POSITIVE,
64,65,740,suki di sini masuk enak dan murah banding suki tempat lain pas kita dtg tamu2 nya memang ga bnyk tp malah bgs jd bisa layan cepat kuah suki yg kita peseb tomyam dan macao broth lebih suka yg tomyam sih pilih isi juga banyak dan enak2 cara tempat g jauh dr rumah jd sepertibya bkl didatangin lagi kalo kangen suki yg murah lumayan dan tempat nyaman,POSITIVE,,POSITIVE,POSITIVE
65,66,1603,kesini karena acara ulang tahun temen aja sih untuk tempat keren lah nyaman dan bisa liat pandang untuk makan yaaa biasa lah lumayan enak,POSITIVE,POSITIVE,,
66,67,228,location tempat di ruko gading serpong jl kelapa puan klo ga salah pokok di pinggiranngitu rada di dalem dalem tapi liat restoran dari jalan yg masuk gang arah sekolah tabur kalo ga salah inget ambience tempat biasa aja sangat sederhana sangat ramai di jam jam makan dan cocok bgt buat restoran keluarga service servicenya baik kok layan juga cepat tanggap food makan sini lebih ke seafood dan untuk rasaanyaa behhh enak bgt yg recommend turut aku itu ikan bandeng bakar cabut tulang sama udang goreng telor asin endesss bgt poll cocok bgt di lidah buat cinta seafood sama harga worth it sih udah beberapa makan sini gak pernah kecewa selain karena rasa yg pas harga juga pas cocok buat makan bareng keluarga dan pasti bakal balik lagi untuk makan si bandend cabut tulang favorit,POSITIVE,POSITIVE,POSITIVE,POSITIVE
67,68,3860,tempat ini adalah tempat untuk shabu2 dan hotplate saya suka shabu2 di sini layan akan jadi cookig untuk kami dan letak di atas piring dengan minyak wijen saya suka buat saus cabai guna cabai bawang putih minyak dan kecap jika anda derita sakit tenggorok minta mereka untuk tidak pakai minyak wijen must order adalah babi lapis dan pecai atau sawi putih manis sekali yang lain akan jadi apa yang kita suka seperti swekiaw bakso soun dll sate mereka juga cukup baik harus coba sate orang kata hotplate babi mereka juga baik tetapi tiap kali saya datang saya akhir mes shabu2 lagi sayang sekali itu agak mahal dan mereka kena biaya bawang putih layan juga tidak konsisten beberapa ok beberapa benar perlu baik untung mereka buka sampai lewat midnite jadi ketika ure cari makan enak yang hangat anda bisa datang ke sini atau mes dari kemangi tetangga dengan manajemen yang sama yang jual makan indonesia,POSITIVE,,,NEGATIVE
68,69,35,mes kyoto matcha kakigori dan matcha latte dan suka benar dapat rasa matcha gaya kyoto sayang sekali mesin kopi tidak fungsi sehingga saya tidak bisa mes minum kopi panas,POSITIVE,,,
69,70,1392,dua kali ke joni steak dan harus aku memang tempat ini sangat jangkau untuk kalang mahasiswa yang ingin makan steak dengan harga yang relatif bawah rata rata untuk daging saya bilang baik yang agak minus adalah rasa mushroom sauce dan layan nya turut saya rasa mushroom saucenya kurang susu atau memang ini sudah jadi resep sendiri dari joni steak untuk layan saya cukup kecewa karena para kerja joni steak lah yang ribut sendiri,POSITIVE,,NEGATIVE,POSITIVE
70,71,139,toko makan tutup yang kenal tidak banyak kata untuk kata saya pikir anda pasti tahu rasa dan suasana p lebih baik anda datang ke sini dan coba,POSITIVE,POSITIVE,,
71,72,2557,suasana tmptnya oke buat yg ddk d luar agak dan banyak nyamuk,,POSITIVE,,
72,73,400,tidak kunjung pertama di sini tetapi kunjung ini agak kecewa mes salad shroom musim panas dory panggang dan chowder seafood ganti salad agak tajam tetapi saya rasa itu segar - cara yang baik untuk mulai makan lanjut seafood chowder rasa benar bagus tapi agak air bukan chowder yang harap yang anda krim dan kaya rasa kecewa utama datang dari dory bumbu itu tidak ada di sana itu cukup sederhana dan bosan tapi hallelujah untuk hidang tutup strawberry flamin-go pada dasar adalah mangga yang puding dengan stroberi segar yang gerimis dengan saus cokelat dan atas dengan marshmallow yang bakar makan tutup ini manis dan segar pada saat yang sama,POSITIVE,,,
73,74,1710,gue sedekah ngasih rating satu yaa kalau bisa gak ngasih rating deh gak patut utk kasih rating buk kecewa layan zonk yang mau ke sini gue saranin gak usah aja mending yang ke daerah tebet soal di sini layan ngacok gak di training mulut jadi gak ramah deh,,,NEGATIVE,
74,75,2539,shao kao ini utama jual skewers aneka macam sate2an mulai dari sate aneka daging sayur jamur jagung juga ada sosis2an gitu harga standar sih rasa bumbu sate nya lumayan slain sate2an ada beberapa menu makan lain harga so so laa beer sini murah se kelapa gading untuk tempat biasa saja tapi nyaman buat ajak keluarga juga,POSITIVE,,POSITIVE,POSITIVE
