187,NEGATIVE,-,-,NEGATIVE
188,POSITIVE,-,NEGATIVE,NEGATIVE
189,NEGATIVE,-,NEGATIVE,-
190,POSITIVE,-,-,POSITIVE
191,NEGATIVE,-,POSITIVE,NEGATIVE
192,POSITIVE,POSITIVE,POSITIVE,-
193,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE
194,POSITIVE,-,-,POSITIVE
195,POSITIVE,POSITIVE,POSITIVE,POSITIVE
196,POSITIVE,-,-,-
197,POSITIVE,-,-,-
198,POSITIVE,POSITIVE,-,POSITIVE
199,POSITIVE,-,-,NEGATIVE
200,NEGATIVE,NEGATIVE,NEGATIVE,-
201,POSITIVE,-,-,-
202,NEGATIVE,-,-,-
203,POSITIVE,-,-,-
204,NEGATIVE,POSITIVE,-,NEGATIVE
205,POSITIVE,POSITIVE,-,-
206,NEGATIVE,POSITIVE,-,-
207,NEGATIVE,-,-,-
208,POSITIVE,-,-,-
209,POSITIVE,-,-,NEGATIVE
210,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE
211,POSITIVE,POSITIVE,POSITIVE,POSITIVE
212,POSITIVE,-,POSITIVE,-
213,POSITIVE,-,-,-
214,POSITIVE,-,POSITIVE,POSITIVE
215,POSITIVE,-,-,NEGATIVE
216,POSITIVE,-,-,-
217,NEGATIVE,-,-,NEGATIVE
218,POSITIVE,-,POSITIVE,-
219,NEGATIVE,-,-,NEGATIVE
220,POSITIVE,-,-,-
221,POSITIVE,-,-,-
222,POSITIVE,-,-,-
223,POSITIVE,POSITIVE,-,POSITIVE
224,POSITIVE,POSITIVE,-,-
225,POSITIVE,-,-,-
226,POSITIVE,POSITIVE,POSITIVE,POSITIVE
227,NEGATIVE,-,-,-
228,NEGATIVE,-,POSITIVE,-
229,NEGATIVE,-,NEGATIVE,-
230,POSITIVE,POSITIVE,-,POSITIVE
231,POSITIVE,POSITIVE,-,POSITIVE
232,POSITIVE,NEGATIVE,POSITIVE,-
233,POSITIVE,POSITIVE,-,POSITIVE
234,-,-,NEGATIVE,-
235,NEGATIVE,-,-,-
236,NEGATIVE,-,-,POSITIVE
237,POSITIVE,POSITIVE,POSITIVE,POSITIVE
238,POSITIVE,-,-,POSITIVE
239,POSITIVE,-,POSITIVE,POSITIVE
240,POSITIVE,-,-,POSITIVE
241,POSITIVE,-,-,-
242,POSITIVE,-,NEGATIVE,NEGATIVE
243,POSITIVE,-,-,-
244,POSITIVE,POSITIVE,-,-
245,POSITIVE,-,-,POSITIVE
246,POSITIVE,-,-,POSITIVE
247,POSITIVE,POSITIVE,POSITIVE,POSITIVE
248,POSITIVE,-,-,POSITIVE
249,-,POSITIVE,POSITIVE,-
250,POSITIVE,POSITIVE,-,-
251,POSITIVE,-,-,NEGATIVE
252,NEGATIVE,POSITIVE,-,-
253,POSITIVE,-,-,POSITIVE
254,POSITIVE,-,-,POSITIVE
255,NEGATIVE,-,-,NEGATIVE
256,POSITIVE,-,POSITIVE,-
257,POSITIVE,-,-,NEGATIVE
258,NEGATIVE,POSITIVE,-,-
259,POSITIVE,-,-,POSITIVE
260,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE
261,POSITIVE,-,NEGATIVE,POSITIVE
262,POSITIVE,NEGATIVE,-,-
263,POSITIVE,-,-,-
264,NEGATIVE,-,POSITIVE,-
265,POSITIVE,POSITIVE,-,-
266,NEGATIVE,-,NEGATIVE,NEGATIVE
267,POSITIVE,POSITIVE,POSITIVE,-
268,NEGATIVE,-,-,-
269,NEGATIVE,-,NEGATIVE,NEGATIVE
270,POSITIVE,POSITIVE,-,POSITIVE
271,POSITIVE,POSITIVE,-,POSITIVE
272,POSITIVE,-,-,POSITIVE
273,POSITIVE,-,-,POSITIVE
274,-,-,-,-
275,POSITIVE,POSITIVE,POSITIVE,POSITIVE
276,POSITIVE,POSITIVE,POSITIVE,-
277,POSITIVE,-,-,POSITIVE
278,POSITIVE,-,-,-
279,POSITIVE,POSITIVE,POSITIVE,POSITIVE
280,POSITIVE,POSITIVE,-,POSITIVE
281,POSITIVE,POSITIVE,-,-
282,POSITIVE,-,POSITIVE,-
283,POSITIVE,-,-,NEGATIVE
284,POSITIVE,POSITIVE,POSITIVE,-
285,POSITIVE,-,-,-
286,POSITIVE,-,-,POSITIVE
287,POSITIVE,POSITIVE,-,-
288,POSITIVE,-,POSITIVE,-
289,POSITIVE,NEGATIVE,POSITIVE,-
290,POSITIVE,-,-,-
291,POSITIVE,POSITIVE,POSITIVE,POSITIVE
292,POSITIVE,POSITIVE,-,-
293,POSITIVE,-,-,-
294,POSITIVE,-,-,POSITIVE
295,NEGATIVE,NEGATIVE,-,NEGATIVE
296,NEGATIVE,POSITIVE,-,-
297,NEGATIVE,-,-,POSITIVE
298,NEGATIVE,-,-,-
299,POSITIVE,-,POSITIVE,NEGATIVE
300,POSITIVE,POSITIVE,POSITIVE,-
301,NEGATIVE,-,-,-
302,POSITIVE,-,-,-
303,NEGATIVE,-,NEGATIVE,POSITIVE
304,POSITIVE,POSITIVE,-,-
305,POSITIVE,POSITIVE,-,-
306,POSITIVE,POSITIVE,-,POSITIVE
307,POSITIVE,POSITIVE,POSITIVE,POSITIVE
308,POSITIVE,-,-,-
309,POSITIVE,-,NEGATIVE,POSITIVE
310,POSITIVE,-,-,-
311,POSITIVE,-,POSITIVE,POSITIVE
312,NEGATIVE,NEGATIVE,NEGATIVE,-
313,POSITIVE,POSITIVE,POSITIVE,-
314,POSITIVE,-,POSITIVE,-
315,POSITIVE,POSITIVE,-,POSITIVE
316,POSITIVE,POSITIVE,POSITIVE,-
317,POSITIVE,-,-,-
318,POSITIVE,-,-,-
319,NEGATIVE,-,NEGATIVE,POSITIVE
320,POSITIVE,-,-,POSITIVE
321,NEGATIVE,POSITIVE,POSITIVE,POSITIVE
322,NEGATIVE,-,-,POSITIVE
323,NEGATIVE,-,NEGATIVE,-
324,POSITIVE,NEGATIVE,POSITIVE,-
325,NEGATIVE,-,-,-
326,POSITIVE,POSITIVE,-,-
327,POSITIVE,POSITIVE,-,-
328,POSITIVE,POSITIVE,-,POSITIVE
329,POSITIVE,-,-,-
330,POSITIVE,-,POSITIVE,-
331,POSITIVE,-,-,-
332,POSITIVE,-,-,-
333,NEGATIVE,-,-,-
334,POSITIVE,-,-,-
335,POSITIVE,POSITIVE,-,POSITIVE
336,POSITIVE,-,NEGATIVE,POSITIVE
337,POSITIVE,NEGATIVE,-,-
338,POSITIVE,-,-,-
339,NEGATIVE,-,-,-
340,POSITIVE,-,-,-
341,NEGATIVE,-,-,-
342,POSITIVE,NEGATIVE,-,POSITIVE
343,POSITIVE,-,-,NEGATIVE
344,POSITIVE,-,POSITIVE,POSITIVE
345,POSITIVE,POSITIVE,POSITIVE,POSITIVE
346,NEGATIVE,-,NEGATIVE,NEGATIVE
347,POSITIVE,POSITIVE,-,-
348,POSITIVE,POSITIVE,POSITIVE,-
349,POSITIVE,-,-,NEGATIVE
350,POSITIVE,-,-,-
351,NEGATIVE,-,-,-
352,POSITIVE,-,-,-
353,POSITIVE,-,POSITIVE,-
354,NEGATIVE,-,-,-
355,NEGATIVE,-,-,-
356,POSITIVE,POSITIVE,-,-
357,POSITIVE,POSITIVE,POSITIVE,-
358,POSITIVE,POSITIVE,POSITIVE,POSITIVE
359,POSITIVE,POSITIVE,-,POSITIVE
360,NEGATIVE,POSITIVE,-,NEGATIVE
361,POSITIVE,-,-,-
362,POSITIVE,-,-,-
363,POSITIVE,POSITIVE,-,-
364,POSITIVE,-,POSITIVE,-
365,POSITIVE,POSITIVE,-,-
366,POSITIVE,POSITIVE,POSITIVE,-
367,POSITIVE,-,-,-
368,POSITIVE,-,-,POSITIVE
369,POSITIVE,-,-,-
370,NEGATIVE,-,-,-
371,POSITIVE,-,-,-
372,POSITIVE,-,-,-
373,POSITIVE,POSITIVE,POSITIVE,POSITIVE
374,POSITIVE,POSITIVE,POSITIVE,POSITIVE
375,POSITIVE,-,-,-
376,POSITIVE,-,POSITIVE,-
377,POSITIVE,POSITIVE,-,-
378,POSITIVE,-,-,-
379,POSITIVE,-,-,POSITIVE
380,POSITIVE,POSITIVE,POSITIVE,-
381,POSITIVE,-,NEGATIVE,NEGATIVE
382,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE
383,POSITIVE,-,-,POSITIVE
384,POSITIVE,-,-,-
385,POSITIVE,-,-,POSITIVE
386,NEGATIVE,-,-,-
387,-,-,POSITIVE,-
388,POSITIVE,-,-,NEGATIVE
389,POSITIVE,-,-,-
390,POSITIVE,POSITIVE,POSITIVE,-
391,POSITIVE,-,-,-
392,NEGATIVE,-,-,POSITIVE
393,NEGATIVE,NEGATIVE,-,-
394,POSITIVE,-,-,POSITIVE
395,POSITIVE,-,-,-
396,POSITIVE,-,-,-
397,POSITIVE,-,NEGATIVE,-
398,POSITIVE,POSITIVE,POSITIVE,POSITIVE
399,NEGATIVE,-,-,-
400,POSITIVE,-,NEGATIVE,NEGATIVE
401,NEGATIVE,-,NEGATIVE,-
402,POSITIVE,-,POSITIVE,-
403,POSITIVE,-,POSITIVE,POSITIVE
404,POSITIVE,POSITIVE,-,-
405,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE
406,POSITIVE,POSITIVE,-,-
407,NEGATIVE,NEGATIVE,-,NEGATIVE
408,POSITIVE,POSITIVE,-,-
409,POSITIVE,-,-,-
410,POSITIVE,POSITIVE,POSITIVE,-
411,POSITIVE,POSITIVE,-,-
412,NEGATIVE,-,-,POSITIVE
413,POSITIVE,-,-,-
414,POSITIVE,-,POSITIVE,-
415,NEGATIVE,-,NEGATIVE,NEGATIVE
416,NEGATIVE,POSITIVE,NEGATIVE,-
417,POSITIVE,POSITIVE,POSITIVE,POSITIVE
418,POSITIVE,POSITIVE,-,-
419,NEGATIVE,-,POSITIVE,-
420,POSITIVE,POSITIVE,POSITIVE,-
421,POSITIVE,-,NEGATIVE,POSITIVE
422,POSITIVE,-,-,-
423,NEGATIVE,NEGATIVE,-,POSITIVE
424,POSITIVE,-,-,-
425,POSITIVE,-,-,-
426,POSITIVE,-,-,POSITIVE
427,POSITIVE,POSITIVE,POSITIVE,POSITIVE
428,POSITIVE,-,-,POSITIVE
429,POSITIVE,POSITIVE,POSITIVE,-
430,NEGATIVE,-,-,-
431,POSITIVE,POSITIVE,POSITIVE,NEGATIVE
432,POSITIVE,-,-,POSITIVE
433,POSITIVE,-,-,-
434,POSITIVE,-,NEGATIVE,-
435,POSITIVE,POSITIVE,-,POSITIVE
436,POSITIVE,-,-,-
437,POSITIVE,POSITIVE,POSITIVE,-
438,POSITIVE,POSITIVE,-,POSITIVE
439,POSITIVE,POSITIVE,-,POSITIVE
440,POSITIVE,-,-,NEGATIVE
441,POSITIVE,-,POSITIVE,-
442,POSITIVE,-,-,-
443,POSITIVE,-,-,-
444,POSITIVE,POSITIVE,-,POSITIVE
445,POSITIVE,-,-,POSITIVE
446,POSITIVE,-,-,POSITIVE
447,POSITIVE,POSITIVE,-,-
448,POSITIVE,-,POSITIVE,POSITIVE
449,POSITIVE,POSITIVE,POSITIVE,-
450,POSITIVE,-,-,-
451,NEGATIVE,POSITIVE,-,POSITIVE
452,NEGATIVE,-,-,POSITIVE
453,POSITIVE,-,NEGATIVE,-
454,POSITIVE,-,-,-
455,POSITIVE,POSITIVE,POSITIVE,POSITIVE
456,POSITIVE,-,-,-
457,POSITIVE,POSITIVE,POSITIVE,POSITIVE
458,POSITIVE,POSITIVE,-,POSITIVE
459,POSITIVE,POSITIVE,-,POSITIVE
460,NEGATIVE,POSITIVE,-,-
461,NEGATIVE,-,NEGATIVE,NEGATIVE
462,POSITIVE,-,-,-
463,POSITIVE,-,-,-
464,POSITIVE,-,-,-
465,POSITIVE,-,-,-
466,POSITIVE,-,-,-
467,POSITIVE,POSITIVE,-,-
468,NEGATIVE,NEGATIVE,POSITIVE,-
469,NEGATIVE,-,POSITIVE,-
470,POSITIVE,-,-,-
471,POSITIVE,-,-,POSITIVE
472,POSITIVE,-,-,POSITIVE
473,POSITIVE,-,POSITIVE,-
474,POSITIVE,POSITIVE,-,-
475,POSITIVE,POSITIVE,-,POSITIVE
476,POSITIVE,-,-,POSITIVE
477,POSITIVE,-,POSITIVE,-
478,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE
479,NEGATIVE,-,-,NEGATIVE
480,POSITIVE,POSITIVE,-,-
481,POSITIVE,-,POSITIVE,-
482,POSITIVE,-,POSITIVE,POSITIVE
483,POSITIVE,-,-,POSITIVE
484,POSITIVE,-,POSITIVE,-
485,POSITIVE,-,-,NEGATIVE
486,POSITIVE,-,POSITIVE,-
487,POSITIVE,POSITIVE,-,-
488,POSITIVE,-,-,-
489,POSITIVE,POSITIVE,-,-
490,POSITIVE,POSITIVE,POSITIVE,-
491,POSITIVE,-,POSITIVE,-
492,POSITIVE,POSITIVE,-,-
493,POSITIVE,-,POSITIVE,-
494,NEGATIVE,-,-,-
495,POSITIVE,-,-,POSITIVE
496,POSITIVE,POSITIVE,NEGATIVE,-
497,POSITIVE,POSITIVE,POSITIVE,POSITIVE
498,NEGATIVE,POSITIVE,-,NEGATIVE
499,POSITIVE,-,-,-
500,POSITIVE,-,-,-
501,POSITIVE,-,NEGATIVE,-
502,POSITIVE,-,-,-
503,POSITIVE,-,NEGATIVE,POSITIVE
504,POSITIVE,POSITIVE,POSITIVE,-
505,POSITIVE,POSITIVE,-,NEGATIVE
506,POSITIVE,-,-,-
507,POSITIVE,-,-,-
508,POSITIVE,-,POSITIVE,POSITIVE
509,POSITIVE,-,-,-
510,POSITIVE,-,-,POSITIVE
511,NEGATIVE,-,-,-
512,POSITIVE,-,-,-
513,POSITIVE,-,-,-
514,POSITIVE,POSITIVE,POSITIVE,-
515,POSITIVE,-,-,-
516,POSITIVE,POSITIVE,-,NEGATIVE
517,POSITIVE,POSITIVE,POSITIVE,POSITIVE
518,NEGATIVE,-,-,-
519,POSITIVE,POSITIVE,-,POSITIVE
520,POSITIVE,-,POSITIVE,POSITIVE
521,POSITIVE,-,-,-
522,POSITIVE,-,-,-
523,POSITIVE,-,-,-
524,NEGATIVE,-,-,-
525,POSITIVE,NEGATIVE,POSITIVE,-
526,POSITIVE,-,POSITIVE,-
527,NEGATIVE,POSITIVE,-,NEGATIVE
528,POSITIVE,POSITIVE,-,NEGATIVE
529,NEGATIVE,-,-,-
530,POSITIVE,-,-,-
531,NEGATIVE,POSITIVE,POSITIVE,POSITIVE
532,POSITIVE,POSITIVE,POSITIVE,POSITIVE
533,POSITIVE,-,-,-
534,POSITIVE,POSITIVE,POSITIVE,NEGATIVE
535,POSITIVE,-,POSITIVE,-
536,POSITIVE,NEGATIVE,-,-
537,NEGATIVE,-,-,-
538,-,POSITIVE,POSITIVE,-
539,POSITIVE,-,-,-
540,POSITIVE,-,-,-
541,POSITIVE,-,-,-
542,NEGATIVE,POSITIVE,POSITIVE,-
543,POSITIVE,-,-,-
544,POSITIVE,-,POSITIVE,-
545,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE
546,POSITIVE,-,POSITIVE,-
547,NEGATIVE,-,NEGATIVE,-
548,POSITIVE,-,POSITIVE,-
549,-,POSITIVE,-,-
550,POSITIVE,POSITIVE,-,POSITIVE
551,POSITIVE,-,-,POSITIVE
552,NEGATIVE,-,-,-
553,POSITIVE,-,-,POSITIVE
554,POSITIVE,-,-,POSITIVE
555,POSITIVE,-,-,POSITIVE
556,POSITIVE,-,-,-
557,NEGATIVE,NEGATIVE,POSITIVE,-
558,POSITIVE,-,-,POSITIVE
559,NEGATIVE,-,NEGATIVE,-
560,NEGATIVE,NEGATIVE,-,NEGATIVE
561,POSITIVE,-,-,POSITIVE
562,POSITIVE,-,-,POSITIVE
563,NEGATIVE,-,POSITIVE,-
564,NEGATIVE,POSITIVE,-,-
565,POSITIVE,POSITIVE,POSITIVE,-
566,POSITIVE,-,-,-
567,POSITIVE,-,-,-
568,POSITIVE,POSITIVE,-,-
569,POSITIVE,-,-,POSITIVE
570,NEGATIVE,-,NEGATIVE,-
571,POSITIVE,-,-,-
572,POSITIVE,NEGATIVE,-,POSITIVE
573,POSITIVE,POSITIVE,-,POSITIVE
574,POSITIVE,POSITIVE,-,-
575,POSITIVE,-,POSITIVE,-
576,POSITIVE,-,-,-
577,NEGATIVE,-,-,-
578,POSITIVE,-,-,POSITIVE
579,POSITIVE,-,-,POSITIVE
580,NEGATIVE,-,-,-
581,POSITIVE,POSITIVE,POSITIVE,NEGATIVE
582,NEGATIVE,NEGATIVE,-,-
583,POSITIVE,POSITIVE,-,POSITIVE
584,POSITIVE,-,-,-
585,POSITIVE,POSITIVE,POSITIVE,POSITIVE
586,NEGATIVE,-,-,NEGATIVE
587,POSITIVE,-,NEGATIVE,-
588,POSITIVE,-,POSITIVE,POSITIVE
589,POSITIVE,-,POSITIVE,-
590,POSITIVE,-,POSITIVE,POSITIVE
591,POSITIVE,-,-,POSITIVE
592,POSITIVE,-,POSITIVE,-
593,POSITIVE,POSITIVE,-,POSITIVE
594,POSITIVE,-,-,NEGATIVE
595,POSITIVE,POSITIVE,-,-
596,POSITIVE,POSITIVE,-,-
597,NEGATIVE,-,-,-
598,POSITIVE,-,-,POSITIVE
599,POSITIVE,-,-,-
600,POSITIVE,-,-,NEGATIVE
601,POSITIVE,-,-,POSITIVE
602,POSITIVE,-,-,-
603,POSITIVE,-,-,-
604,POSITIVE,POSITIVE,POSITIVE,POSITIVE
605,POSITIVE,POSITIVE,NEGATIVE,-
606,NEGATIVE,-,-,-
607,NEGATIVE,-,NEGATIVE,POSITIVE
608,POSITIVE,-,-,-
609,POSITIVE,-,-,-
610,NEGATIVE,-,-,-
611,POSITIVE,-,-,-
612,POSITIVE,-,-,-
613,POSITIVE,-,-,NEGATIVE
614,NEGATIVE,-,-,-
615,POSITIVE,-,-,POSITIVE
616,NEGATIVE,POSITIVE,POSITIVE,-
617,POSITIVE,-,-,POSITIVE
618,POSITIVE,-,-,POSITIVE
619,POSITIVE,POSITIVE,POSITIVE,POSITIVE
620,NEGATIVE,-,POSITIVE,-
621,POSITIVE,-,-,POSITIVE
622,POSITIVE,-,-,-
623,POSITIVE,POSITIVE,POSITIVE,NEGATIVE
624,NEGATIVE,-,NEGATIVE,NEGATIVE
625,NEGATIVE,-,-,-
626,POSITIVE,-,POSITIVE,-
627,POSITIVE,-,POSITIVE,-
628,POSITIVE,POSITIVE,POSITIVE,-
629,NEGATIVE,-,POSITIVE,-
630,POSITIVE,-,-,POSITIVE
631,NEGATIVE,-,POSITIVE,-
632,POSITIVE,POSITIVE,-,POSITIVE
633,POSITIVE,-,-,-
634,POSITIVE,POSITIVE,POSITIVE,POSITIVE
635,POSITIVE,POSITIVE,-,-
636,NEGATIVE,-,POSITIVE,-
637,POSITIVE,POSITIVE,POSITIVE,-
638,POSITIVE,-,-,POSITIVE
639,POSITIVE,POSITIVE,-,POSITIVE
640,NEGATIVE,-,-,-
641,POSITIVE,POSITIVE,-,NEGATIVE
642,POSITIVE,POSITIVE,-,NEGATIVE
643,POSITIVE,-,POSITIVE,POSITIVE
644,POSITIVE,NEGATIVE,NEGATIVE,-
645,NEGATIVE,-,POSITIVE,POSITIVE
646,NEGATIVE,-,-,-
647,NEGATIVE,-,-,NEGATIVE
648,POSITIVE,-,-,POSITIVE
649,POSITIVE,-,-,-
650,POSITIVE,-,-,-
651,POSITIVE,-,POSITIVE,-
652,POSITIVE,POSITIVE,POSITIVE,POSITIVE
653,POSITIVE,-,-,-
654,POSITIVE,-,POSITIVE,-
655,POSITIVE,-,POSITIVE,POSITIVE
656,POSITIVE,-,-,-
657,POSITIVE,-,-,-
658,POSITIVE,-,POSITIVE,-
659,POSITIVE,-,-,-
660,POSITIVE,-,POSITIVE,NEGATIVE
661,POSITIVE,POSITIVE,POSITIVE,-
662,POSITIVE,-,POSITIVE,-
663,NEGATIVE,-,-,-
664,POSITIVE,POSITIVE,-,POSITIVE
